Indicator,Geographic Area,Geographic Identifier,Race,Sex,Age,Time Period,n (Unweighted),Estimate % (weighted),2.5%,97.5%
Past infection with or without vaccination,Pennsylvania,42,Non-Hispanic White,Overall,Overall,2022 Quarter 4,1243,80.38,77.7,82.81
Past infection with or without vaccination,Pennsylvania,42,Other,Overall,Overall,2022 Quarter 4,6,81.36,43.51,96.12
Past infection with or without vaccination,South Carolina,45,Hispanic,Overall,Overall,2022 Quarter 4,13,78.74,51.28,92.87
Past infection with or without vaccination,South Carolina,45,Non-Hispanic Asian,Overall,Overall,2022 Quarter 4,5,89.45,47.51,98.76
Past infection with or without vaccination,South Carolina,45,Non-Hispanic Black,Overall,Overall,2022 Quarter 4,21,81.58,65.68,91.11
Past infection with or without vaccination,South Carolina,45,Non-Hispanic White,Overall,Overall,2022 Quarter 4,478,77.58,69.13,84.25
Past infection with or without vaccination,South Carolina,45,Other,Overall,Overall,2022 Quarter 4,3,85.26,34.78,98.43
Past infection with or without vaccination,South Dakota,46,Hispanic,Overall,Overall,2022 Quarter 4,13,72.23,46.76,88.51
Past infection with or without vaccination,South Dakota,46,Non-Hispanic Asian,Overall,Overall,2022 Quarter 4,2,23.21,4.66,65.11
Past infection with or without vaccination,South Dakota,46,Non-Hispanic Black,Overall,Overall,2022 Quarter 4,3,100,43.85,100
Past infection with or without vaccination,South Dakota,46,Non-Hispanic White,Overall,Overall,2022 Quarter 4,559,88.1,85.16,90.52
Past infection with or without vaccination,South Dakota,46,Other,Overall,Overall,2022 Quarter 4,10,73.15,45.2,90
Past infection with or without vaccination,Tennessee,47,Hispanic,Overall,Overall,2022 Quarter 4,8,72.36,38.11,91.76
Past infection with or without vaccination,Tennessee,47,Non-Hispanic Asian,Overall,Overall,2022 Quarter 4,8,49.95,21.1,78.83
Past infection with or without vaccination,Tennessee,47,Non-Hispanic Black,Overall,Overall,2022 Quarter 4,61,75.44,62.73,84.86
Past infection with or without vaccination,Tennessee,47,Non-Hispanic White,Overall,Overall,2022 Quarter 4,781,82.86,79.3,85.91
Past infection with or without vaccination,Tennessee,47,Other,Overall,Overall,2022 Quarter 4,6,92.28,60.29,98.95
Past infection with or without vaccination,Texas,48,Hispanic,Overall,Overall,2022 Quarter 4,612,85.7,82.88,88.13
Past infection with or without vaccination,Texas,48,Non-Hispanic Asian,Overall,Overall,2022 Quarter 4,22,74.37,46.95,90.49
Past infection with or without vaccination,Texas,48,Non-Hispanic Black,Overall,Overall,2022 Quarter 4,13,89.83,72.42,96.74
Past infection with or without vaccination,Texas,48,Non-Hispanic White,Overall,Overall,2022 Quarter 4,716,80.66,76.24,84.43
Past infection with or without vaccination,Texas,48,Other,Overall,Overall,2022 Quarter 4,15,78.3,61.07,89.24
Past infection with or without vaccination,Utah,49,Hispanic,Overall,Overall,2022 Quarter 4,21,89.82,70.08,97.08
Past infection with or without vaccination,Utah,49,Non-Hispanic Asian,Overall,Overall,2022 Quarter 4,6,38.71,4.43,89.6
Past infection with or without vaccination,Utah,49,Non-Hispanic Black,Overall,Overall,2022 Quarter 4,0,,,
Past infection with or without vaccination,Utah,49,Non-Hispanic White,Overall,Overall,2022 Quarter 4,842,82.08,78.69,85.03
Past infection with or without vaccination,Utah,49,Other,Overall,Overall,2022 Quarter 4,6,76.41,23.45,97.16
Past infection with or without vaccination,Virginia,51,Hispanic,Overall,Overall,2022 Quarter 4,22,72.36,54.58,85.09
Past infection with or without vaccination,Virginia,51,Non-Hispanic Asian,Overall,Overall,2022 Quarter 4,16,59.02,35.58,78.98
Past infection with or without vaccination,Virginia,51,Non-Hispanic Black,Overall,Overall,2022 Quarter 4,35,75.9,59.04,87.32
Past infection with or without vaccination,Virginia,51,Non-Hispanic White,Overall,Overall,2022 Quarter 4,1034,70.36,64.72,75.44
Past infection with or without vaccination,Virginia,51,Other,Overall,Overall,2022 Quarter 4,11,57.16,30.46,80.26
Past infection with or without vaccination,Vermont,50,Hispanic,Overall,Overall,2022 Quarter 4,1,100,20.65,100
Past infection with or without vaccination,Vermont,50,Non-Hispanic Asian,Overall,Overall,2022 Quarter 4,0,0,,
Past infection with or without vaccination,Vermont,50,Non-Hispanic Black,Overall,Overall,2022 Quarter 4,0,0,,
Past infection with or without vaccination,Vermont,50,Non-Hispanic White,Overall,Overall,2022 Quarter 4,122,65.33,56.59,73.15
Past infection with or without vaccination,Vermont,50,Other,Overall,Overall,2022 Quarter 4,0,,,
Past infection with or without vaccination,Washington,53,Hispanic,Overall,Overall,2022 Quarter 4,32,79.66,67.04,88.29
Past infection with or without vaccination,Washington,53,Non-Hispanic Asian,Overall,Overall,2022 Quarter 4,10,79.92,52.86,93.39
Past infection with or without vaccination,Washington,53,Non-Hispanic Black,Overall,Overall,2022 Quarter 4,4,86.27,37.71,98.49
Past infection with or without vaccination,Washington,53,Non-Hispanic White,Overall,Overall,2022 Quarter 4,874,72.75,67.46,77.47
Past infection with or without vaccination,Washington,53,Other,Overall,Overall,2022 Quarter 4,14,70.73,39.56,89.92
Past infection with or without vaccination,Wisconsin,55,Hispanic,Overall,Overall,2022 Quarter 4,6,62.29,25.93,88.63
Past infection with or without vaccination,Wisconsin,55,Non-Hispanic Asian,Overall,Overall,2022 Quarter 4,4,52.21,18.81,83.74
Past infection with or without vaccination,Wisconsin,55,Non-Hispanic Black,Overall,Overall,2022 Quarter 4,3,55.64,7.14,95.34
Past infection with or without vaccination,Wisconsin,55,Non-Hispanic White,Overall,Overall,2022 Quarter 4,1467,79.99,77.47,82.29
Past infection with or without vaccination,Wisconsin,55,Other,Overall,Overall,2022 Quarter 4,8,81.25,46.63,95.55
Past infection with or without vaccination,West Virginia,54,Hispanic,Overall,Overall,2022 Quarter 4,3,80.76,22.16,98.41
Past infection with or without vaccination,West Virginia,54,Non-Hispanic Asian,Overall,Overall,2022 Quarter 4,1,100,20.65,100
Past infection with or without vaccination,West Virginia,54,Non-Hispanic Black,Overall,Overall,2022 Quarter 4,0,,,
Past infection with or without vaccination,West Virginia,54,Non-Hispanic White,Overall,Overall,2022 Quarter 4,169,76.08,70.25,81.08
Past infection with or without vaccination,West Virginia,54,Other,Overall,Overall,2022 Quarter 4,1,100,20.65,100
Past infection with or without vaccination,Wyoming,56,Hispanic,Overall,Overall,2022 Quarter 4,22,78.63,52.08,92.57
Past infection with or without vaccination,Wyoming,56,Non-Hispanic Asian,Overall,Overall,2022 Quarter 4,1,23.49,0.39,95.99
Past infection with or without vaccination,Wyoming,56,Non-Hispanic Black,Overall,Overall,2022 Quarter 4,2,63.95,8.89,96.99
Past infection with or without vaccination,Wyoming,56,Non-Hispanic White,Overall,Overall,2022 Quarter 4,407,81.73,77.32,85.44
Past infection with or without vaccination,Wyoming,56,Other,Overall,Overall,2022 Quarter 4,5,100,56.55,100
Presumed vaccination without infection,Alabama,01,Hispanic,Overall,Overall,2022 Quarter 4,1,9.48,0.33,76.91
Presumed vaccination without infection,Alabama,01,Non-Hispanic Asian,Overall,Overall,2022 Quarter 4,1,100,20.65,100
Presumed vaccination without infection,Alabama,01,Non-Hispanic Black,Overall,Overall,2022 Quarter 4,2,16.08,3.14,53.13
Presumed vaccination without infection,Alabama,01,Non-Hispanic White,Overall,Overall,2022 Quarter 4,52,15.56,9.92,23.58
Presumed vaccination without infection,Alabama,01,Other,Overall,Overall,2022 Quarter 4,1,98.86,0.3,100
Presumed vaccination without infection,Arkansas,05,Hispanic,Overall,Overall,2022 Quarter 4,0,0,,
Presumed vaccination without infection,Arkansas,05,Non-Hispanic Asian,Overall,Overall,2022 Quarter 4,0,,,
Presumed vaccination without infection,Arkansas,05,Non-Hispanic Black,Overall,Overall,2022 Quarter 4,0,,,
Presumed vaccination without infection,Arkansas,05,Non-Hispanic White,Overall,Overall,2022 Quarter 4,20,17.52,10.56,27.65
Presumed vaccination without infection,Arkansas,05,Other,Overall,Overall,2022 Quarter 4,0,,,
Presumed vaccination without infection,Arizona,04,Hispanic,Overall,Overall,2022 Quarter 4,100,11.8,8.99,15.35
Presumed vaccination without infection,Arizona,04,Non-Hispanic Asian,Overall,Overall,2022 Quarter 4,36,25.64,17.34,36.18
Presumed vaccination without infection,Arizona,04,Non-Hispanic Black,Overall,Overall,2022 Quarter 4,12,13.81,6.28,27.71
Presumed vaccination without infection,Arizona,04,Non-Hispanic White,Overall,Overall,2022 Quarter 4,740,18.92,17.12,20.85
Presumed vaccination without infection,Arizona,04,Other,Overall,Overall,2022 Quarter 4,16,11.28,5.66,21.22
Presumed vaccination without infection,California,06,Hispanic,Overall,Overall,2022 Quarter 4,311,21.84,18.95,25.03
Presumed vaccination without infection,California,06,Non-Hispanic Asian,Overall,Overall,2022 Quarter 4,357,34.05,30.04,38.3
Presumed vaccination without infection,California,06,Non-Hispanic Black,Overall,Overall,2022 Quarter 4,49,31.9,23.87,41.18
Presumed vaccination without infection,California,06,Non-Hispanic White,Overall,Overall,2022 Quarter 4,2275,29.28,27.79,30.81
Presumed vaccination without infection,California,06,Other,Overall,Overall,2022 Quarter 4,104,21.89,16.04,29.12
Presumed vaccination without infection,Colorado,08,Hispanic,Overall,Overall,2022 Quarter 4,101,15.25,12.01,19.18
Presumed vaccination without infection,Colorado,08,Non-Hispanic Asian,Overall,Overall,2022 Quarter 4,45,25.23,17.57,34.82
Presumed vaccination without infection,Colorado,08,Non-Hispanic Black,Overall,Overall,2022 Quarter 4,14,18.31,8.6,34.8
Presumed vaccination without infection,Colorado,08,Non-Hispanic White,Overall,Overall,2022 Quarter 4,859,20.63,19.08,22.28
Presumed vaccination without infection,Colorado,08,Other,Overall,Overall,2022 Quarter 4,14,14.26,7.32,25.93
Indeterminate,Alabama,01,Other,Overall,Overall,2022 Quarter 4,0,0,,
Presumed vaccination without infection,Connecticut,09,Hispanic,Overall,Overall,2022 Quarter 4,6,22.57,9.96,43.44
Presumed vaccination without infection,Connecticut,09,Non-Hispanic Asian,Overall,Overall,2022 Quarter 4,5,56.13,23.51,84.19
Presumed vaccination without infection,Connecticut,09,Non-Hispanic Black,Overall,Overall,2022 Quarter 4,5,51.06,20.93,80.45
Presumed vaccination without infection,Connecticut,09,Non-Hispanic White,Overall,Overall,2022 Quarter 4,359,23.33,19.95,27.08
Presumed vaccination without infection,Connecticut,09,Other,Overall,Overall,2022 Quarter 4,2,21,5.53,54.67
Presumed vaccination without infection,District of Columbia,11,Hispanic,Overall,Overall,2022 Quarter 4,0,0,,
Presumed vaccination without infection,District of Columbia,11,Non-Hispanic Asian,Overall,Overall,2022 Quarter 4,0,0,,
Presumed vaccination without infection,District of Columbia,11,Non-Hispanic Black,Overall,Overall,2022 Quarter 4,1,21.8,2.65,74.03
Presumed vaccination without infection,District of Columbia,11,Non-Hispanic White,Overall,Overall,2022 Quarter 4,18,34.3,21.6,49.73
Presumed vaccination without infection,District of Columbia,11,Other,Overall,Overall,2022 Quarter 4,1,62.3,4.02,98.49
Presumed vaccination without infection,Florida,12,Hispanic,Overall,Overall,2022 Quarter 4,0,,,
Presumed vaccination without infection,Florida,12,Non-Hispanic Asian,Overall,Overall,2022 Quarter 4,0,,,
Presumed vaccination without infection,Florida,12,Non-Hispanic Black,Overall,Overall,2022 Quarter 4,0,,,
Presumed vaccination without infection,Florida,12,Non-Hispanic White,Overall,Overall,2022 Quarter 4,2,10.49,2.4,35.88
Presumed vaccination without infection,Florida,12,Other,Overall,Overall,2022 Quarter 4,0,,,
Presumed vaccination without infection,Georgia,13,Hispanic,Overall,Overall,2022 Quarter 4,9,22.2,10.11,42
Presumed vaccination without infection,Georgia,13,Non-Hispanic Asian,Overall,Overall,2022 Quarter 4,3,12.66,3.89,34.15
Presumed vaccination without infection,Georgia,13,Non-Hispanic Black,Overall,Overall,2022 Quarter 4,14,18.92,10.82,30.98
Presumed vaccination without infection,Georgia,13,Non-Hispanic White,Overall,Overall,2022 Quarter 4,318,14.7,11.06,19.29
Presumed vaccination without infection,Georgia,13,Other,Overall,Overall,2022 Quarter 4,1,7.52,1.14,36.35
Presumed vaccination without infection,Iowa,19,Hispanic,Overall,Overall,2022 Quarter 4,0,0,,
Presumed vaccination without infection,Iowa,19,Non-Hispanic Asian,Overall,Overall,2022 Quarter 4,0,,,
Presumed vaccination without infection,Iowa,19,Non-Hispanic Black,Overall,Overall,2022 Quarter 4,0,,,
Presumed vaccination without infection,Iowa,19,Non-Hispanic White,Overall,Overall,2022 Quarter 4,43,9.39,6.5,13.36
Presumed vaccination without infection,Iowa,19,Other,Overall,Overall,2022 Quarter 4,0,,,
Presumed vaccination without infection,Idaho,16,Hispanic,Overall,Overall,2022 Quarter 4,4,7.12,2,22.31
Presumed vaccination without infection,Idaho,16,Non-Hispanic Asian,Overall,Overall,2022 Quarter 4,0,0,,
Presumed vaccination without infection,Idaho,16,Non-Hispanic Black,Overall,Overall,2022 Quarter 4,0,,,
Presumed vaccination without infection,Idaho,16,Non-Hispanic White,Overall,Overall,2022 Quarter 4,237,18.37,15.36,21.82
Presumed vaccination without infection,Idaho,16,Other,Overall,Overall,2022 Quarter 4,2,8.03,1.52,33.06
Presumed vaccination without infection,Illinois,17,Hispanic,Overall,Overall,2022 Quarter 4,7,30.57,11.53,59.81
Presumed vaccination without infection,Illinois,17,Non-Hispanic Asian,Overall,Overall,2022 Quarter 4,3,42.12,12.53,78.71
Presumed vaccination without infection,Illinois,17,Non-Hispanic Black,Overall,Overall,2022 Quarter 4,1,7.19,1.01,36.98
Presumed vaccination without infection,Illinois,17,Non-Hispanic White,Overall,Overall,2022 Quarter 4,201,13.3,10.62,16.54
Presumed vaccination without infection,Illinois,17,Other,Overall,Overall,2022 Quarter 4,2,50,10.08,89.92
Presumed vaccination without infection,Indiana,18,Hispanic,Overall,Overall,2022 Quarter 4,3,14.86,4.92,37.07
Presumed vaccination without infection,Indiana,18,Non-Hispanic Asian,Overall,Overall,2022 Quarter 4,0,0,,
Presumed vaccination without infection,Indiana,18,Non-Hispanic Black,Overall,Overall,2022 Quarter 4,2,41.96,7.05,87.32
Presumed vaccination without infection,Indiana,18,Non-Hispanic White,Overall,Overall,2022 Quarter 4,231,12.48,9.84,15.71
Presumed vaccination without infection,Indiana,18,Other,Overall,Overall,2022 Quarter 4,0,0,,
Presumed vaccination without infection,Kansas,20,Hispanic,Overall,Overall,2022 Quarter 4,4,10.82,3.61,28.25
Presumed vaccination without infection,Kansas,20,Non-Hispanic Asian,Overall,Overall,2022 Quarter 4,2,33.97,6.3,79.73
Presumed vaccination without infection,Kansas,20,Non-Hispanic Black,Overall,Overall,2022 Quarter 4,0,0,,
Presumed vaccination without infection,Kansas,20,Non-Hispanic White,Overall,Overall,2022 Quarter 4,207,15.68,12.93,18.89
Presumed vaccination without infection,Kansas,20,Other,Overall,Overall,2022 Quarter 4,1,10.81,1.53,48.52
Presumed vaccination without infection,Kentucky,21,Hispanic,Overall,Overall,2022 Quarter 4,1,21.55,0.3,96.14
Presumed vaccination without infection,Kentucky,21,Non-Hispanic Asian,Overall,Overall,2022 Quarter 4,1,39.64,1.73,96.08
Presumed vaccination without infection,Kentucky,21,Non-Hispanic Black,Overall,Overall,2022 Quarter 4,1,52.53,4.43,96.35
Presumed vaccination without infection,Kentucky,21,Non-Hispanic White,Overall,Overall,2022 Quarter 4,116,15.78,12.48,19.75
Presumed vaccination without infection,Kentucky,21,Other,Overall,Overall,2022 Quarter 4,0,0,,
Presumed vaccination without infection,Louisiana,22,Hispanic,Overall,Overall,2022 Quarter 4,1,8.54,1.32,39.53
Presumed vaccination without infection,Louisiana,22,Non-Hispanic Asian,Overall,Overall,2022 Quarter 4,0,0,,
Presumed vaccination without infection,Louisiana,22,Non-Hispanic Black,Overall,Overall,2022 Quarter 4,9,17.74,8.54,33.24
Presumed vaccination without infection,Louisiana,22,Non-Hispanic White,Overall,Overall,2022 Quarter 4,45,9.33,5.88,14.5
Presumed vaccination without infection,Louisiana,22,Other,Overall,Overall,2022 Quarter 4,1,33.29,3.17,88.38
Presumed vaccination without infection,Massachusetts,25,Hispanic,Overall,Overall,2022 Quarter 4,9,31,16.33,50.84
Presumed vaccination without infection,Massachusetts,25,Non-Hispanic Asian,Overall,Overall,2022 Quarter 4,8,35.67,17.23,59.63
Presumed vaccination without infection,Massachusetts,25,Non-Hispanic Black,Overall,Overall,2022 Quarter 4,3,37.38,9.46,77.32
Presumed vaccination without infection,Massachusetts,25,Non-Hispanic White,Overall,Overall,2022 Quarter 4,359,25.58,22.39,29.06
Presumed vaccination without infection,Massachusetts,25,Other,Overall,Overall,2022 Quarter 4,0,0,,
Presumed vaccination without infection,Maryland,24,Hispanic,Overall,Overall,2022 Quarter 4,5,43.52,14.6,77.65
Presumed vaccination without infection,Maryland,24,Non-Hispanic Asian,Overall,Overall,2022 Quarter 4,9,38.27,19.69,61.05
Presumed vaccination without infection,Maryland,24,Non-Hispanic Black,Overall,Overall,2022 Quarter 4,13,32.95,18.05,52.32
Presumed vaccination without infection,Maryland,24,Non-Hispanic White,Overall,Overall,2022 Quarter 4,261,26.69,21,33.28
Presumed vaccination without infection,Maryland,24,Other,Overall,Overall,2022 Quarter 4,5,43.07,18.39,71.74
Presumed vaccination without infection,Maine,23,Hispanic,Overall,Overall,2022 Quarter 4,2,73.62,12.2,98.25
Presumed vaccination without infection,Maine,23,Non-Hispanic Asian,Overall,Overall,2022 Quarter 4,1,21.6,0.98,88.45
Presumed vaccination without infection,Maine,23,Non-Hispanic Black,Overall,Overall,2022 Quarter 4,0,,,
Presumed vaccination without infection,Maine,23,Non-Hispanic White,Overall,Overall,2022 Quarter 4,186,31.1,25.95,36.76
Presumed vaccination without infection,Maine,23,Other,Overall,Overall,2022 Quarter 4,2,52.61,8.66,92.86
Presumed vaccination without infection,Michigan,26,Hispanic,Overall,Overall,2022 Quarter 4,6,28.17,11.28,54.75
Presumed vaccination without infection,Michigan,26,Non-Hispanic Asian,Overall,Overall,2022 Quarter 4,4,20.03,7.64,43.12
Presumed vaccination without infection,Michigan,26,Non-Hispanic Black,Overall,Overall,2022 Quarter 4,2,7.65,1.96,25.56
Presumed vaccination without infection,Michigan,26,Non-Hispanic White,Overall,Overall,2022 Quarter 4,568,20.27,17.95,22.81
Presumed vaccination without infection,Michigan,26,Other,Overall,Overall,2022 Quarter 4,2,14.77,2.83,50.71
Presumed vaccination without infection,Minnesota,27,Hispanic,Overall,Overall,2022 Quarter 4,3,18.3,5.57,45.97
Presumed vaccination without infection,Minnesota,27,Non-Hispanic Asian,Overall,Overall,2022 Quarter 4,3,26.81,8.4,59.39
Presumed vaccination without infection,Minnesota,27,Non-Hispanic Black,Overall,Overall,2022 Quarter 4,3,100,43.85,100
Presumed vaccination without infection,Minnesota,27,Non-Hispanic White,Overall,Overall,2022 Quarter 4,574,18.46,16.14,21.03
Presumed vaccination without infection,Minnesota,27,Other,Overall,Overall,2022 Quarter 4,3,27.96,7.63,64.58
Presumed vaccination without infection,Missouri,29,Hispanic,Overall,Overall,2022 Quarter 4,2,12.67,3.15,39.28
Presumed vaccination without infection,Missouri,29,Non-Hispanic Asian,Overall,Overall,2022 Quarter 4,2,75.8,18.56,97.73
Presumed vaccination without infection,Missouri,29,Non-Hispanic Black,Overall,Overall,2022 Quarter 4,4,30.32,9.95,63.14
Presumed vaccination without infection,Missouri,29,Non-Hispanic White,Overall,Overall,2022 Quarter 4,211,17.54,14.22,21.43
Presumed vaccination without infection,Missouri,29,Other,Overall,Overall,2022 Quarter 4,1,13.31,1.75,57
Presumed vaccination without infection,Mississippi,28,Hispanic,Overall,Overall,2022 Quarter 4,0,0,,
Presumed vaccination without infection,Mississippi,28,Non-Hispanic Asian,Overall,Overall,2022 Quarter 4,0,0,,
Presumed vaccination without infection,Mississippi,28,Non-Hispanic Black,Overall,Overall,2022 Quarter 4,16,25.22,15.91,37.55
Presumed vaccination without infection,Mississippi,28,Non-Hispanic White,Overall,Overall,2022 Quarter 4,50,8.84,5.95,12.94
Presumed vaccination without infection,Mississippi,28,Other,Overall,Overall,2022 Quarter 4,0,0,,
Presumed vaccination without infection,Montana,30,Hispanic,Overall,Overall,2022 Quarter 4,9,21.82,8.67,45.1
Presumed vaccination without infection,Montana,30,Non-Hispanic Asian,Overall,Overall,2022 Quarter 4,1,42.3,4.75,91.51
Presumed vaccination without infection,Montana,30,Non-Hispanic Black,Overall,Overall,2022 Quarter 4,0,0,,
Presumed vaccination without infection,Montana,30,Non-Hispanic White,Overall,Overall,2022 Quarter 4,189,15.16,12.85,17.8
Presumed vaccination without infection,Montana,30,Other,Overall,Overall,2022 Quarter 4,1,19.96,2.79,68.41
Presumed vaccination without infection,North Carolina,37,Hispanic,Overall,Overall,2022 Quarter 4,7,15.21,6.97,30.04
Presumed vaccination without infection,North Carolina,37,Non-Hispanic Asian,Overall,Overall,2022 Quarter 4,5,31.04,11.03,62.05
Presumed vaccination without infection,North Carolina,37,Non-Hispanic Black,Overall,Overall,2022 Quarter 4,19,35.12,22.53,50.19
Presumed vaccination without infection,North Carolina,37,Non-Hispanic White,Overall,Overall,2022 Quarter 4,655,23.2,19.84,26.95
Presumed vaccination without infection,North Carolina,37,Other,Overall,Overall,2022 Quarter 4,4,25.73,9,54.82
Presumed vaccination without infection,North Dakota,38,Hispanic,Overall,Overall,2022 Quarter 4,2,3.13,0.8,11.46
Presumed vaccination without infection,North Dakota,38,Non-Hispanic Asian,Overall,Overall,2022 Quarter 4,1,6.19,0.88,32.98
Presumed vaccination without infection,North Dakota,38,Non-Hispanic Black,Overall,Overall,2022 Quarter 4,0,0,,
Presumed vaccination without infection,North Dakota,38,Non-Hispanic White,Overall,Overall,2022 Quarter 4,138,10.25,8.67,12.07
Presumed vaccination without infection,North Dakota,38,Other,Overall,Overall,2022 Quarter 4,1,11.79,1.65,51.56
Presumed vaccination without infection,Nebraska,31,Hispanic,Overall,Overall,2022 Quarter 4,2,16.53,3.31,53.44
Presumed vaccination without infection,Nebraska,31,Non-Hispanic Asian,Overall,Overall,2022 Quarter 4,3,46.1,13.04,82.99
Presumed vaccination without infection,Nebraska,31,Non-Hispanic Black,Overall,Overall,2022 Quarter 4,2,100,34.24,100
Presumed vaccination without infection,Nebraska,31,Non-Hispanic White,Overall,Overall,2022 Quarter 4,195,13,10.28,16.3
Presumed vaccination without infection,Nebraska,31,Other,Overall,Overall,2022 Quarter 4,1,11.9,1.63,52.32
Presumed vaccination without infection,New Hampshire,33,Hispanic,Overall,Overall,2022 Quarter 4,1,12.95,0.99,68.77
Presumed vaccination without infection,New Hampshire,33,Non-Hispanic Asian,Overall,Overall,2022 Quarter 4,1,26.47,0.56,95.83
Presumed vaccination without infection,New Hampshire,33,Non-Hispanic Black,Overall,Overall,2022 Quarter 4,0,,,
Presumed vaccination without infection,New Hampshire,33,Non-Hispanic White,Overall,Overall,2022 Quarter 4,184,26.21,21.09,32.07
Presumed vaccination without infection,New Hampshire,33,Other,Overall,Overall,2022 Quarter 4,1,31.39,0.92,95.75
Presumed vaccination without infection,New Jersey,34,Hispanic,Overall,Overall,2022 Quarter 4,1,5.25,0.71,29.95
Presumed vaccination without infection,New Jersey,34,Non-Hispanic Asian,Overall,Overall,2022 Quarter 4,1,20.76,1.68,80.05
Presumed vaccination without infection,New Jersey,34,Non-Hispanic Black,Overall,Overall,2022 Quarter 4,1,7.56,1.06,38.5
Presumed vaccination without infection,New Jersey,34,Non-Hispanic White,Overall,Overall,2022 Quarter 4,124,20.32,15.11,26.77
Presumed vaccination without infection,New Jersey,34,Other,Overall,Overall,2022 Quarter 4,1,11.4,0.63,72.45
Presumed vaccination without infection,New Mexico,35,Hispanic,Overall,Overall,2022 Quarter 4,197,21.09,18.13,24.4
Presumed vaccination without infection,New Mexico,35,Non-Hispanic Asian,Overall,Overall,2022 Quarter 4,5,13.84,4.91,33.34
Presumed vaccination without infection,New Mexico,35,Non-Hispanic Black,Overall,Overall,2022 Quarter 4,5,23.08,8.38,49.63
Presumed vaccination without infection,New Mexico,35,Non-Hispanic White,Overall,Overall,2022 Quarter 4,224,25.29,22.19,28.66
Presumed vaccination without infection,New Mexico,35,Other,Overall,Overall,2022 Quarter 4,22,24.65,14.99,37.77
Presumed vaccination without infection,Nevada,32,Hispanic,Overall,Overall,2022 Quarter 4,23,6.68,4.52,9.76
Presumed vaccination without infection,Nevada,32,Non-Hispanic Asian,Overall,Overall,2022 Quarter 4,28,16.04,10.6,23.54
Presumed vaccination without infection,Nevada,32,Non-Hispanic Black,Overall,Overall,2022 Quarter 4,6,10.99,4.41,24.82
Presumed vaccination without infection,Nevada,32,Non-Hispanic White,Overall,Overall,2022 Quarter 4,251,15.13,13.11,17.4
Presumed vaccination without infection,Nevada,32,Other,Overall,Overall,2022 Quarter 4,9,11.82,5,25.45
Presumed vaccination without infection,New York,36,Hispanic,Overall,Overall,2022 Quarter 4,2,9.49,2.32,31.6
Presumed vaccination without infection,New York,36,Non-Hispanic Asian,Overall,Overall,2022 Quarter 4,3,21.96,6.89,51.7
Presumed vaccination without infection,New York,36,Non-Hispanic Black,Overall,Overall,2022 Quarter 4,2,8.58,2.1,29.15
Presumed vaccination without infection,New York,36,Non-Hispanic White,Overall,Overall,2022 Quarter 4,668,21.47,18.34,24.97
Presumed vaccination without infection,New York,36,Other,Overall,Overall,2022 Quarter 4,4,31.31,11.01,62.66
Presumed vaccination without infection,Ohio,39,Hispanic,Overall,Overall,2022 Quarter 4,4,13.36,4.89,31.61
Presumed vaccination without infection,Ohio,39,Non-Hispanic Asian,Overall,Overall,2022 Quarter 4,6,42.89,21.42,67.42
Presumed vaccination without infection,Ohio,39,Non-Hispanic Black,Overall,Overall,2022 Quarter 4,11,42.26,23.66,63.36
Presumed vaccination without infection,Ohio,39,Non-Hispanic White,Overall,Overall,2022 Quarter 4,716,16.4,15,17.91
Presumed vaccination without infection,Ohio,39,Other,Overall,Overall,2022 Quarter 4,3,14.02,4.14,38.14
Presumed vaccination without infection,Oklahoma,40,Hispanic,Overall,Overall,2022 Quarter 4,0,0,,
Presumed vaccination without infection,Oklahoma,40,Non-Hispanic Asian,Overall,Overall,2022 Quarter 4,0,,,
Presumed vaccination without infection,Oklahoma,40,Non-Hispanic Black,Overall,Overall,2022 Quarter 4,0,0,,
Presumed vaccination without infection,Oklahoma,40,Non-Hispanic White,Overall,Overall,2022 Quarter 4,57,13.37,10.16,17.41
Presumed vaccination without infection,Oklahoma,40,Other,Overall,Overall,2022 Quarter 4,3,10.12,2.02,38.09
Presumed vaccination without infection,Oregon,41,Hispanic,Overall,Overall,2022 Quarter 4,11,23.23,11.72,40.82
Presumed vaccination without infection,Oregon,41,Non-Hispanic Asian,Overall,Overall,2022 Quarter 4,7,24.92,9.96,49.9
Presumed vaccination without infection,Oregon,41,Non-Hispanic Black,Overall,Overall,2022 Quarter 4,2,57.5,7.14,95.97
Presumed vaccination without infection,Oregon,41,Non-Hispanic White,Overall,Overall,2022 Quarter 4,442,28.77,25.42,32.37
Presumed vaccination without infection,Oregon,41,Other,Overall,Overall,2022 Quarter 4,6,18.63,6.14,44.49
Presumed vaccination without infection,Pennsylvania,42,Hispanic,Overall,Overall,2022 Quarter 4,6,27.49,10,56.41
Presumed vaccination without infection,Pennsylvania,42,Non-Hispanic Asian,Overall,Overall,2022 Quarter 4,4,34.29,12.28,66.04
Presumed vaccination without infection,Pennsylvania,42,Non-Hispanic Black,Overall,Overall,2022 Quarter 4,3,12.92,4.1,33.99
Presumed vaccination without infection,Pennsylvania,42,Non-Hispanic White,Overall,Overall,2022 Quarter 4,367,18.22,15.87,20.83
Presumed vaccination without infection,Pennsylvania,42,Other,Overall,Overall,2022 Quarter 4,2,18.64,3.88,56.49
Presumed vaccination without infection,South Carolina,45,Hispanic,Overall,Overall,2022 Quarter 4,5,21.26,7.13,48.72
